TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
47620,4762,5233,G,G,
47521,4752,5234,G,G,
47522,4752,5234,G,G,
47523,4752,5234,G,G,
47524,4752,5234,G,G,
47525,4752,5234,G,G,
47411,4741,5239,G,G,
47412,4741,5239,G,G,
47413,4741,5239,G,G,
47530,4753,5239,G,G,
47611,4761,5239,G,G,
47612,4761,5239,G,G,
47630,4763,5239,G,G,
47640,4764,5239,G,G,
47691,4769,5239,G,G,
47699,4769,5239,G,G,
47731,4773,5239,G,G,
47732,4773,5239,G,G,
47733,4773,5239,G,G,
47734,4773,5239,G,G,
47735,4773,5239,G,G,
47739,4773,5239,G,G,
47741,4774,5240,G,G,
47742,4774,5240,G,G,
47743,4774,5240,G,G,
47744,4774,5240,G,G,
47745,4774,5240,G,G,
47749,4774,5240,G,G,
64925,,5240,G,G,delete LFS11=6492
47911,4791,5251,G,G,
47912,4791,5251,G,G,
47811,4781,5252,G,G,
47812,4781,5252,G,G,
47813,4781,5252,G,G,
47821,4782,5252,G,G,
47822,4782,5252,G,G,
47891,4789,5252,G,G,
47892,4789,5252,G,G,
47893,4789,5252,G,G,
47894,4789,5252,G,G,
47895,4789,5252,G,G,
47896,4789,5252,G,G,
47897,4789,5252,G,G,
47899,4789,5252,G,G,
47912,4791,5259,G,G,
47991,4799,5259,G,G,
47999,4799,5259,G,G,
